scenario_id,climate_window_id,climate_pathway_id,technology_case_id,year,n_successful_realizations,mean_T_out_C,mean_T_out_C_median,winter_mean_T_out_C,winter_mean_T_out_C_median,summer_mean_T_out_C,summer_mean_T_out_C_median,HDD_15,HDD_15_median,HDD_18,HDD_18_median,CDD_22,CDD_22_median,mean_solar_W_m2,mean_solar_W_m2_median
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2056,1,11.377889414302638,11.377889414302638,4.109731820913462,4.109731820913462,19.827489438264266,19.827489438264266,1798.9533386230469,1798.9533386230469,2648.0050048828125,2648.0050048828125,68.60498046875,68.60498046875,144.66256358323852,144.66256358323852
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2057,1,10.777230793156036,10.777230793156036,4.6043212890625,4.6043212890625,17.80545641028363,17.80545641028363,1859.597412109375,1859.597412109375,2742.9366455078125,2742.9366455078125,20.0772705078125,20.0772705078125,137.43675125069814,137.43675125069814
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2058,1,10.786112829757064,10.786112829757064,5.184666273328993,5.184666273328993,17.566151826278023,17.566151826278023,1903.2242431640625,1903.2242431640625,2795.9749755859375,2795.9749755859375,56.49658203125,56.49658203125,140.89261860782153,140.89261860782153
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2059,1,11.21696668651006,11.21696668651006,3.62878180609809,3.62878180609809,19.217181993567426,19.217181993567426,1898.7177429199219,1898.7177429199219,2688.6373291015625,2688.6373291015625,47.91705322265625,47.91705322265625,144.95181739885513,144.95181739885513
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2060,1,10.323996205147498,10.323996205147498,4.626411857185783,4.626411857185783,17.840115091075067,17.840115091075067,2036.9015502929688,2036.9015502929688,2905.1744689941406,2905.1744689941406,5.840301513671875,5.840301513671875,142.58302267783327,142.58302267783327
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2061,1,10.909815289223031,10.909815289223031,3.1440765380859377,3.1440765380859377,19.31014417565387,19.31014417565387,1910.23388671875,1910.23388671875,2771.173309326172,2771.173309326172,39.878936767578125,39.878936767578125,136.72667062576502,136.72667062576502
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2062,1,11.51053140718643,11.51053140718643,4.496314493815104,4.496314493815104,19.99962748651919,19.99962748651919,1890.5678405761719,1890.5678405761719,2656.7236328125,2656.7236328125,48.650634765625,48.650634765625,143.28623657095923,143.28623657095923
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2063,1,11.495550202670163,11.495550202670163,5.362567138671875,5.362567138671875,19.47748963729195,19.47748963729195,1774.1464233398438,1774.1464233398438,2566.8564453125,2566.8564453125,48.41912841796875,48.41912841796875,145.93549164288663,145.93549164288663
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2064,1,11.113573668433018,11.113573668433018,4.428337013328468,4.428337013328468,17.506868777067766,17.506868777067766,1760.5465087890625,1760.5465087890625,2642.1717834472656,2642.1717834472656,23.048065185546875,23.048065185546875,136.9244179921072,136.9244179921072
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2065,1,12.534547654243365,12.534547654243365,4.394066026475694,4.394066026475694,23.841077721637227,23.841077721637227,1859.6383361816406,1859.6383361816406,2601.7429809570312,2601.7429809570312,283.88714599609375,283.88714599609375,151.48394661864188,151.48394661864188
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2066,1,10.960766768782106,10.960766768782106,2.934786309136285,2.934786309136285,19.211950882621434,19.211950882621434,2023.1064758300781,2023.1064758300781,2801.901641845703,2801.901641845703,40.799652099609375,40.799652099609375,151.9364080337629,151.9364080337629
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2067,1,10.640153189881207,10.640153189881207,5.228006659613715,5.228006659613715,19.019103672193445,19.019103672193445,2034.8280334472656,2034.8280334472656,2855.3016967773438,2855.3016967773438,16.4296875,16.4296875,144.3842621894732,144.3842621894732
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2068,1,11.376900761505294,11.376900761505294,4.490320562006353,4.490320562006353,18.835289001464844,18.835289001464844,1771.015380859375,1771.015380859375,2616.8182067871094,2616.8182067871094,41.9276123046875,41.9276123046875,140.6836649928588,140.6836649928588
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2069,1,11.732597037537458,11.732597037537458,5.026241726345486,5.026241726345486,18.899585226307746,18.899585226307746,1726.1466369628906,1726.1466369628906,2535.416778564453,2535.416778564453,63.24761962890625,63.24761962890625,143.4225423224985,143.4225423224985
mid_century_2050_2070__rcp_8_5__tech_high_electrification_pv_ev,mid_century_2050_2070,rcp_8_5,tech_high_electrification_pv_ev,2070,1,11.384159035878639,11.384159035878639,4.917574734157986,4.917574734157986,18.46071591584579,18.46071591584579,1736.7444763183594,1736.7444763183594,2550.2470092773438,2550.2470092773438,33.739990234375,33.739990234375,147.380348278725,147.380348278725
